 	160
©	169
­	173
®	174
¯	175
²	178 2
酡	37217
醅	37253
醞	37278
醬	37292
醶	37302
鈸	37432
鈹	37433
鉏	37455
鉧	37479
銲	37554
鋙	37593
錀	37632
鏁	37825
鏽	37885
鐁	37889
鐖	37910
鑣	37987
閒	38290
閦	38310
阝	38429
阳	38451
雞	38622
靏	38735
靛	38747
韛	38875
韝	38877
頰	38960
顖	38998
顗	38999
顚	39002
顬	39020
颺	39098
驒	39506
骶	39606
髁	39617
髕	39637
髙	39641
髥	39653
鬠	39712
魞	39774
魣	39779
魦	39782
魬	39788
魳	39795
魶	39798
鮊	39818
鮏	39823
鮞	39838
鮸	39864
鯯	39919
鯳	39923
鯽	39933
鰖	39958
鰙	39961
鰧	39975
鰶	39990
鱏	40015
鱓	40019
鱝	40029
鱪	40042
鱮	40046
鱰	40048
鱲	40050
鱵	40053
鵂	40258
鵇	40263
鵟	40287
鵥	40293
鵼	40316
鶍	40333
鷉	40393
鷗	40407
鷚	40410
鸄	40452
鸊	40458
鹼	40572
麇	40583
麞	40606
麨	40616
麬	40620
麴	40628
麵	40629
麽	40637
黑	40657
黿	40703
鼉	40713
鼯	40751
鼹	40761
鼺	40762
齗	40791
﨑	64017
艹	64093
艹	64094
褐	64096
辶	64102
﻿	65279
－	65293   -
～	65374   ~
￨	65512
￼	65532
𝄇	119047
𠮟	134047
𣏕	144341
𥝱	153457
𧿹	163833
𩸽	171581
𫠍	178189
